,N,T,XN,f,x
191,100.0,2.0,0.509486317230498,0.4,0.5
192,100.0,3.0,0.5138918197321032,0.4,0.5
193,100.0,4.0,0.5171836335493114,0.4,0.5
194,100.0,5.0,0.5195690480347824,0.4,0.5
195,200.0,1.0,0.5025315085930547,0.4,0.5
196,200.0,2.0,0.5058085385475808,0.4,0.5
197,200.0,3.0,0.5084543624961175,0.4,0.5
198,200.0,4.0,0.5103876790263095,0.4,0.5
199,200.0,5.0,0.5117496714327859,0.4,0.5
200,300.0,1.0,0.5019057516452402,0.4,0.5
201,300.0,2.0,0.5043623514278868,0.4,0.5
202,300.0,3.0,0.5063317894141369,0.4,0.5
203,300.0,4.0,0.507755939603929,0.4,0.5
204,300.0,5.0,0.5087461980967876,0.4,0.5
205,500.0,1.0,0.5013324839320656,0.4,0.5
206,500.0,2.0,0.5030429468896613,0.4,0.5
207,500.0,3.0,0.5044040519888248,0.4,0.5
208,500.0,4.0,0.5053776124204007,0.4,0.5
209,500.0,5.0,0.5060454039671838,0.4,0.5
210,10.0,1.0,0.5139398454031191,0.6000000000000001,0.5
211,10.0,2.0,0.5316969887379897,0.6000000000000001,0.5
212,10.0,3.0,0.5440738333167473,0.6000000000000001,0.5
213,10.0,4.0,0.5519908263750607,0.6000000000000001,0.5
214,10.0,5.0,0.5569229639801105,0.6000000000000001,0.5
215,20.0,1.0,0.5083490056621258,0.6000000000000001,0.5
216,20.0,2.0,0.5202495579631752,0.6000000000000001,0.5
217,20.0,3.0,0.5298624033632867,0.6000000000000001,0.5
218,20.0,4.0,0.5367925780059191,0.6000000000000001,0.5
219,20.0,5.0,0.5416007370391934,0.6000000000000001,0.5
220,50.0,1.0,0.5040395549049111,0.6000000000000001,0.5
221,50.0,2.0,0.509741143211884,0.6000000000000001,0.5
222,50.0,3.0,0.514472229809657,0.6000000000000001,0.5
223,50.0,4.0,0.5179751972359637,0.6000000000000001,0.5
224,50.0,5.0,0.5204621615861087,0.6000000000000001,0.5
225,100.0,1.0,0.5023231511991206,0.6000000000000001,0.5
226,100.0,2.0,0.505559991699685,0.6000000000000001,0.5
227,100.0,3.0,0.5082037234129507,0.6000000000000001,0.5
228,100.0,4.0,0.5101164325284284,0.6000000000000001,0.5
229,100.0,5.0,0.511435759794541,0.6000000000000001,0.5
230,200.0,1.0,0.5013347557542066,0.6000000000000001,0.5
231,200.0,2.0,0.5031803587985737,0.6000000000000001,0.5
232,200.0,3.0,0.5046715917835028,0.6000000000000001,0.5
233,200.0,4.0,0.5057332078038472,0.6000000000000001,0.5
234,200.0,5.0,0.506450740194515,0.6000000000000001,0.5
235,300.0,1.0,0.5009650234282668,0.6000000000000001,0.5
236,300.0,2.0,0.5022954672100979,0.6000000000000001,0.5
237,300.0,3.0,0.5033656087825413,0.6000000000000001,0.5
238,300.0,4.0,0.5041223711896753,0.6000000000000001,0.5
239,300.0,5.0,0.5046296211811099,0.6000000000000001,0.5
240,500.0,1.0,0.5006412652996947,0.6000000000000001,0.5
241,500.0,2.0,0.5015229971711112,0.6000000000000001,0.5
242,500.0,3.0,0.5022291506094284,0.6000000000000001,0.5
243,500.0,4.0,0.5027253406066517,0.6000000000000001,0.5
244,500.0,5.0,0.5030553226982629,0.6000000000000001,0.5
245,10.0,1.0,0.510057286630152,0.8,0.5
246,10.0,2.0,0.5236059000567358,0.8,0.5
247,10.0,3.0,0.5331336854360191,0.8,0.5
248,10.0,4.0,0.5391930641706042,0.8,0.5
249,10.0,5.0,0.5429236547833953,0.8,0.5
250,20.0,1.0,0.5056248992712561,0.8,0.5
251,20.0,2.0,0.5141706591340763,0.8,0.5
252,20.0,3.0,0.5211341296062828,0.8,0.5
253,20.0,4.0,0.5260978704718806,0.8,0.5
254,20.0,5.0,0.5294691923865844,0.8,0.5
255,50.0,1.0,0.5024814870846289,0.8,0.5
256,50.0,2.0,0.5062209166853806,0.8,0.5
257,50.0,3.0,0.5093440144793435,0.8,0.5
258,50.0,4.0,0.5116171755312188,0.8,0.5
259,50.0,5.0,0.5131832379020075,0.8,0.5
260,100.0,1.0,0.5013316496614111,0.8,0.5
261,100.0,2.0,0.5033167407256829,0.8,0.5
262,100.0,3.0,0.5049553693471179,0.8,0.5
263,100.0,4.0,0.5061275681965918,0.8,0.5
264,100.0,5.0,0.506917801544876,0.8,0.5
265,200.0,1.0,0.500714015106134,0.8,0.5
266,200.0,2.0,0.5017722497226715,0.8,0.5
267,200.0,3.0,0.5026398246260613,0.8,0.5
268,200.0,4.0,0.5032541569346126,0.8,0.5
269,200.0,5.0,0.5036630978694489,0.8,0.5
270,300.0,1.0,0.5004957841828741,0.8,0.5
271,300.0,2.0,0.5012290766467561,0.8,0.5
272,300.0,3.0,0.5018287196169159,0.8,0.5
273,300.0,4.0,0.502251736252901,0.8,0.5
274,300.0,5.0,0.5025320298572308,0.8,0.5
275,500.0,1.0,0.5003130937135002,0.8,0.5
276,500.0,2.0,0.5007753792478534,0.8,0.5
277,500.0,3.0,0.501152563724502,0.8,0.5
278,500.0,4.0,0.5014177778280065,0.8,0.5
279,500.0,5.0,0.5015928106144856,0.8,0.5
280,10.0,1.0,0.507322149217351,1.0,0.5
281,10.0,2.0,0.5177429834152054,1.0,0.5
282,10.0,3.0,0.5251438125413188,1.0,0.5
283,10.0,4.0,0.5298353099301235,1.0,0.5
284,10.0,5.0,0.5326996756102206,1.0,0.5
285,20.0,1.0,0.5038326615309499,1.0,0.5
286,20.0,2.0,0.5100412802089378,1.0,0.5
287,20.0,3.0,0.5151634853262064,1.0,0.5
288,20.0,4.0,0.518793910571,1.0,0.5
289,20.0,5.0,0.5212247477078364,1.0,0.5
290,50.0,1.0,0.5015431433767871,1.0,0.5
291,50.0,2.0,0.5040282513487434,1.0,0.5
292,50.0,3.0,0.5061326005689495,1.0,0.5
293,50.0,4.0,0.5076551337628753,1.0,0.5
294,50.0,5.0,0.5086875131215044,1.0,0.5
295,100.0,1.0,0.5007728684224346,1.0,0.5
296,100.0,2.0,0.5020060475000508,1.0,0.5
297,100.0,3.0,0.5030419148772153,1.0,0.5
298,100.0,4.0,0.5037825353330487,1.0,0.5
299,100.0,5.0,0.5042773662026903,1.0,0.5
300,200.0,1.0,0.5003867444065885,1.0,0.5
301,200.0,2.0,0.5010009860134425,1.0,0.5
302,200.0,3.0,0.5015148624227329,1.0,0.5
303,200.0,4.0,0.5018800888093263,1.0,0.5
304,200.0,5.0,0.5021223298334091,1.0,0.5
305,300.0,1.0,0.5002578971585702,1.0,0.5
306,300.0,2.0,0.5006668700856871,1.0,0.5
307,300.0,3.0,0.5010085611660842,1.0,0.5
308,300.0,4.0,0.5012509386200512,1.0,0.5
309,300.0,5.0,0.5014113190209349,1.0,0.5
310,500.0,1.0,0.5001547704238339,1.0,0.5
311,500.0,2.0,0.5003999039400656,1.0,0.5
312,500.0,3.0,0.5006044916657668,1.0,0.5
