,N,T,XN,f,x
0,10.0,1.0,0.47405389589064084,0.0,0.46321389535670904
1,10.0,2.0,0.5116818172751477,0.0,0.48646782505172886
2,10.0,3.0,0.5300588596161409,0.0,0.49502203996301464
3,10.0,4.0,0.5389737996311008,0.0,0.49816880241169575
4,10.0,5.0,0.5432948616917435,0.0,0.49932637373894123
5,10.0,6.0,0.5453889900287379,0.0,0.4997521991387027
6,10.0,7.0,0.5464038414826342,0.0,0.49990884371585637
7,10.0,8.0,0.5468956516910832,0.0,0.49996646715392606
8,10.0,9.0,0.5471339885338156,0.0,0.49998766457215527
9,10.0,10.0,0.5472494891538933,0.0,0.4999954622766029
10,20.0,1.0,0.4691995992642196,0.0,0.46321389535670904
11,20.0,2.0,0.5026131359201165,0.0,0.48646782505172886
12,20.0,3.0,0.5192679984561253,0.0,0.49502203996301464
13,20.0,4.0,0.5276766136693183,0.0,0.49816880241169575
14,20.0,5.0,0.5319516820655676,0.0,0.49932637373894123
15,20.0,6.0,0.5341327318475464,0.0,0.4997521991387027
16,20.0,7.0,0.5352472821162291,0.0,0.49990884371585637
17,20.0,8.0,0.5358172676363794,0.0,0.49996646715392606
18,20.0,9.0,0.5361088624716374,0.0,0.49998766457215527
19,20.0,10.0,0.5362580613081664,0.0,0.4999954622766029
20,50.0,1.0,0.4655218468495661,0.0,0.46321389535670904
21,50.0,2.0,0.49462198095181154,0.0,0.48646782505172886
22,50.0,3.0,0.5087394127402021,0.0,0.49502203996301464
23,50.0,4.0,0.5158264180346005,0.0,0.49816880241169575
24,50.0,5.0,0.5194416255273047,0.0,0.49932637373894123
25,50.0,6.0,0.5213001222458997,0.0,0.4997521991387027
26,50.0,7.0,0.5222591465956274,0.0,0.49990884371585637
27,50.0,8.0,0.5227549429436054,0.0,0.49996646715392606
28,50.0,9.0,0.5230114945444742,0.0,0.49998766457215527
29,50.0,10.0,0.5231443082326953,0.0,0.4999954622766029
30,100.0,1.0,0.46415533809220705,0.0,0.46321389535670904
31,100.0,2.0,0.49100470979949484,0.0,0.48646782505172886
32,100.0,3.0,0.5036488115717327,0.0,0.49502203996301464
33,100.0,4.0,0.5099211298994241,0.0,0.49816880241169575
34,100.0,5.0,0.5131067771237512,0.0,0.49932637373894123
35,100.0,6.0,0.5147427489386459,0.0,0.4997521991387027
36,100.0,7.0,0.5155873923175512,0.0,0.49990884371585637
37,100.0,8.0,0.5160246198924565,0.0,0.49996646715392606
38,100.0,9.0,0.5162512427228662,0.0,0.49998766457215527
39,100.0,10.0,0.5163687809012018,0.0,0.4999954622766029
40,200.0,1.0,0.4635268346187163,0.0,0.46321389535670904
41,200.0,2.0,0.4887888706731139,0.0,0.48646782505172886
42,200.0,3.0,0.5002568850089861,0.0,0.49502203996301464
43,200.0,4.0,0.5058548960649327,0.0,0.49816880241169575
44,200.0,5.0,0.5086788764446663,0.0,0.49932637373894123
45,200.0,6.0,0.510125248785043,0.0,0.4997521991387027
46,200.0,7.0,0.5108714206204767,0.0,0.49990884371585637
47,200.0,8.0,0.5112577232642381,0.0,0.49996646715392606
48,200.0,9.0,0.5114580651861977,0.0,0.49998766457215527
49,200.0,10.0,0.5115620551797301,0.0,0.4999954622766029
50,300.0,1.0,0.46336264426027496,0.0,0.46321389535670904
51,300.0,2.0,0.48795697885164213,0.0,0.48646782505172886
52,300.0,3.0,0.4988502612153396,0.0,0.49502203996301464
53,300.0,4.0,0.5041061903378726,0.0,0.49816880241169575
54,300.0,5.0,0.5067441782111092,0.0,0.49932637373894123
55,300.0,6.0,0.5080923271899858,0.0,0.4997521991387027
56,300.0,7.0,0.5087872106168878,0.0,0.49990884371585637
57,300.0,8.0,0.5091468652285286,0.0,0.49996646715392606
58,300.0,9.0,0.5093333940956313,0.0,0.49998766457215527
59,300.0,10.0,0.509430232397971,0.0,0.4999954622766029
60,10.0,1.0,0.4721928726128263,1.0,0.46321389535670904
61,10.0,2.0,0.508790320370051,1.0,0.48646782505172886
62,10.0,3.0,0.5273635077802025,1.0,0.49502203996301464
63,10.0,4.0,0.5367950875367073,1.0,0.49816880241169575
64,10.0,5.0,0.5415926765661083,1.0,0.49932637373894123
65,10.0,6.0,0.5440351556547889,1.0,0.4997521991387027
66,10.0,7.0,0.5452790754087029,1.0,0.49990884371585637
67,10.0,8.0,0.545912675353659,1.0,0.49996646715392606
68,10.0,9.0,0.5462354222107239,1.0,0.49998766457215527
69,10.0,10.0,0.5463998284828903,1.0,0.4999954622766029
70,20.0,1.0,0.46731829540338693,1.0,0.46321389535670904
71,20.0,2.0,0.4979810682146163,1.0,0.48646782505172886
72,20.0,3.0,0.512969168450649,1.0,0.49502203996301464
73,20.0,4.0,0.5205427076332907,1.0,0.49816880241169575
74,20.0,5.0,0.5244438100970967,1.0,0.49932637373894123
75,20.0,6.0,0.5264749015443558,1.0,0.4997521991387027
76,20.0,7.0,0.5275385248331295,1.0,0.49990884371585637
77,20.0,8.0,0.5280972302663769,1.0,0.49996646715392606
78,20.0,9.0,0.5283911858152854,1.0,0.49998766457215527
79,20.0,10.0,0.5285459780705746,1.0,0.4999954622766029
80,50.0,1.0,0.4644855004971694,1.0,0.46321389535670904
81,50.0,2.0,0.4907977728822371,1.0,0.48646782505172886
82,50.0,3.0,0.5023783065639684,1.0,0.49502203996301464
83,50.0,4.0,0.5076688929498149,1.0,0.49816880241169575
84,50.0,5.0,0.5101360620608153,1.0,0.49932637373894123
85,50.0,6.0,0.5112999916701163,1.0,0.4997521991387027
86,50.0,7.0,0.5118527503945697,1.0,0.49990884371585637
