,N,T,XN,f,x,VN
86,100.0,1.0,0.5052902808560917,0.2,0.5,0.002253475009991901
87,100.0,2.0,0.5090434767687596,0.2,0.5,0.002693344844009405
88,200.0,1.0,0.503487982783994,0.2,0.5,0.0011195086994259527
89,200.0,2.0,0.5059421480457056,0.2,0.5,0.0013299753674358428
90,300.0,1.0,0.5027334362081122,0.2,0.5,0.0007440252665917857
91,300.0,2.0,0.5046491699905054,0.2,0.5,0.0008809621809965918
92,500.0,1.0,0.5020106015719916,0.2,0.5,0.00044489780773632187
93,500.0,2.0,0.5034137330799201,0.2,0.5,0.0005247139350688659
94,1000.0,1.0,0.5013254128572735,0.2,0.5,0.00022157768722103066
95,1000.0,2.0,0.5022458542584498,0.2,0.5,0.0002600691498090835
96,10.0,1.0,0.5172992255560211,0.3,0.5,0.023235978309749442
97,10.0,2.0,0.5302899493232628,0.3,0.5,0.02731320570229373
98,20.0,1.0,0.5110873358094918,0.3,0.5,0.011385277834624286
99,20.0,2.0,0.5193762114981979,0.3,0.5,0.013501649973861274
100,50.0,1.0,0.5061090032552621,0.3,0.5,0.004474351204286632
101,50.0,2.0,0.5105727968108019,0.3,0.5,0.005269243171380778
102,100.0,1.0,0.5038887187883547,0.3,0.5,0.002218716702956758
103,100.0,2.0,0.5066997504888541,0.3,0.5,0.0025979202456630213
104,200.0,1.0,0.5024753519415305,0.3,0.5,0.0011029164588370333
105,200.0,2.0,0.5042512187220969,0.3,0.5,0.001284676306095356
106,300.0,1.0,0.5019007043090978,0.3,0.5,0.000733334074280112
107,300.0,2.0,0.5032595905873126,0.3,0.5,0.0008518480918190963
108,500.0,1.0,0.5013627614024686,0.3,0.5,0.0004387880895947993
109,500.0,2.0,0.5023335084292567,0.3,0.5,0.0005081213639084869
110,1000.0,1.0,0.5008677980296581,0.3,0.5,0.0002187425295521184
111,1000.0,2.0,0.5014835128286858,0.3,0.5,0.0002523932324375311
112,10.0,1.0,0.5144422999259131,0.4,0.5,0.0230075135964144
113,10.0,2.0,0.5254997919626959,0.4,0.5,0.02669443983495512
114,20.0,1.0,0.5089017862149942,0.4,0.5,0.01126470252856948
115,20.0,2.0,0.5156903757662807,0.4,0.5,0.0131599927204597
116,50.0,1.0,0.5046734202446139,0.4,0.5,0.004429726258406874
117,50.0,2.0,0.508164007000965,0.4,0.5,0.005144903430459202
118,100.0,1.0,0.5028715186369597,0.4,0.5,0.002198428641427552
119,100.0,2.0,0.504996150217324,0.4,0.5,0.002541868333083341
120,200.0,1.0,0.5017651790690087,0.4,0.5,0.001093871643462474
121,200.0,2.0,0.5030629854847358,0.4,0.5,0.0012598199365654874
