,N,T,XN,f,x
64,300.0,5.0,0.5015391602970777,1.0,0.4993262221448578
65,500.0,1.0,0.4632533786143638,1.0,0.4632122398233412
66,500.0,2.0,0.4866898135773053,1.0,0.4864666070118481
67,500.0,3.0,0.4956973214590058,1.0,0.4950213678437506
68,500.0,4.0,0.4992855540338842,1.0,0.4981684727422788
69,500.0,5.0,0.5007425371402956,1.0,0.4993262221448578
70,10.0,1.0,0.4678891209195814,2.0,0.4632122398233412
71,10.0,2.0,0.4962374993261794,2.0,0.4864666070118481
72,10.0,3.0,0.5081894296590291,2.0,0.4950213678437506
73,10.0,4.0,0.5132148962647786,2.0,0.4981684727422788
74,10.0,5.0,0.5153255560156994,2.0,0.4993262221448578
75,20.0,1.0,0.4651631545444568,2.0,0.4632122398233412
76,20.0,2.0,0.4907076756783633,2.0,0.4864666070118481
77,20.0,3.0,0.5010131746397624,2.0,0.4950213678437506
78,20.0,4.0,0.5052073090186774,2.0,0.4981684727422788
79,20.0,5.0,0.5069208199261195,2.0,0.4993262221448578
80,50.0,1.0,0.4638063840075841,2.0,0.4632122398233412
81,50.0,2.0,0.4877991986816783,2.0,0.4864666070118481
82,50.0,3.0,0.4970308138756173,2.0,0.4950213678437506
83,50.0,4.0,0.5006154251541328,2.0,0.4981684727422788
84,50.0,5.0,0.5020126194631824,2.0,0.4993262221448578
85,100.0,1.0,0.4634541874861716,2.0,0.4632122398233412
86,100.0,2.0,0.4870039303450773,2.0,0.4864666070118481
87,100.0,3.0,0.4958970907857113,2.0,0.4950213678437506
88,100.0,4.0,0.499284864289859,2.0,0.4981684727422788
89,100.0,5.0,0.5005802205527417,2.0,0.4993262221448578
90,200.0,1.0,0.4633151353122581,2.0,0.4632122398233412
91,200.0,2.0,0.4866742995766716,2.0,0.4864666070118481
92,200.0,3.0,0.4953953544345596,2.0,0.4950213678437506
93,200.0,4.0,0.4986770488584361,2.0,0.4981684727422788
94,200.0,5.0,0.499916352361395,2.0,0.4993262221448578
95,300.0,1.0,0.4632768105538349,2.0,0.4632122398233412
96,300.0,2.0,0.4865832123573965,2.0,0.4864666070118481
97,300.0,3.0,0.4952453273929697,2.0,0.4950213678437506
98,300.0,4.0,0.4984879996840298,2.0,0.4981684727422788
